T  ,  Magnetizacion,  Error,  Susceptibilidad,  Cumulante
2.32,0.15917,0.0105277,81.3287,0.133338
2.318,0.186542,0.0120956,93.6907,0.219307
2.316,0.170899,0.0105117,81.7521,0.230342
2.314,0.223176,0.0153273,116.942,0.325166
2.312,0.222215,0.0179994,138.227,0.268576
2.31,0.198295,0.0157185,121.444,0.172597
2.308,0.262203,0.0201208,152.691,0.367222
2.306,0.269307,0.0213993,165.581,0.359112
2.304,0.247966,0.0189351,142.141,0.344635
2.302,0.283424,0.0215486,164.927,0.374302
2.3,0.249352,0.0235528,177.998,0.24388
2.298,0.297344,0.0235583,182.431,0.379554
2.296,0.254,0.024117,180.783,0.251773
2.294,0.282042,0.0266279,198.439,0.316765
2.292,0.292328,0.0330738,252.842,0.30783
2.29,0.29551,0.0288599,212.185,0.362714
2.288,0.41244,0.0262462,195.993,0.521092
2.286,0.429842,0.0243861,179.062,0.54755
2.284,0.403061,0.0334668,250.729,0.488009
2.282,0.378839,0.0336192,253.29,0.452663
2.28,0.543366,0.0101935,73.7683,0.624047
2.278,0.454903,0.0349234,251.346,0.539261
2.276,0.564815,0.0109805,79.9292,0.62739
2.274,0.452183,0.0369009,271.724,0.520526
2.272,0.567153,0.0155499,107.812,0.624133
2.27,0.590828,0.00828055,59.8929,0.637473
2.268,0.58887,0.00905748,64.0164,0.63473
2.266,0.628101,0.00439424,31.8606,0.651447
2.264,0.603523,0.00874475,62.3211,0.638876
2.262,0.559813,0.0238984,162.772,0.602587
2.26,0.571623,0.0285063,202.244,0.608758
