T  ,  Magnetizacion,  Error,  Susceptibilidad,  Cumulante
2.35,0.0877888,0.00518515,45.5849,0.046599
2.34,0.0944487,0.00546717,48.1405,0.142744
2.33,0.110372,0.00704548,61.8426,0.144466
2.32,0.13837,0.0127226,110.343,0.140703
2.31898,0.151934,0.016489,141.798,0.0822877
2.31797,0.144417,0.0162171,141.255,0.0424796
2.31695,0.18411,0.0164934,142.29,0.308526
2.31593,0.124926,0.0100674,87.8959,0.124206
2.31492,0.177804,0.0143326,124.21,0.345253
2.3139,0.148791,0.0134633,114.541,0.19878
2.31288,0.123585,0.0133241,113.808,-0.135513
2.31186,0.150082,0.0136209,120.039,0.151258
2.31085,0.140259,0.0147557,122.128,0.0758178
2.30983,0.149532,0.0182869,150.355,0.0416614
2.30881,0.144798,0.0134915,116.35,0.161325
2.3078,0.165679,0.0176889,149.297,0.17598
2.30678,0.166904,0.0192789,167.171,0.134853
2.30576,0.154715,0.0167707,144.762,0.0743689
2.30475,0.160817,0.016699,137.795,0.135947
2.30373,0.16018,0.0169156,143.443,0.130914
2.30271,0.174206,0.0216194,182.796,0.12637
2.30169,0.208329,0.0264625,227.447,0.226938
2.30068,0.188934,0.0202336,169.129,0.27071
2.29966,0.177243,0.0201148,171.888,0.159502
2.29864,0.213365,0.0229723,199.593,0.295747
2.29763,0.242388,0.0318615,247.009,0.311002
2.29661,0.270792,0.0222009,189.68,0.459835
2.29559,0.242575,0.0278466,232.799,0.341471
2.29458,0.187287,0.0221086,178.376,0.190204
2.29356,0.239093,0.0343512,285.679,0.307212
2.29254,0.240381,0.0286323,251.094,0.357264
2.29153,0.295836,0.0441736,346.494,0.353425
2.29051,0.27115,0.0357472,317.129,0.368806
2.28949,0.328337,0.0347125,272.94,0.476503
2.28847,0.292621,0.0343929,279.357,0.443449
2.28746,0.277092,0.0345411,287.269,0.373991
2.28644,0.356942,0.0264338,215.97,0.527928
2.28542,0.404074,0.0410775,334.278,0.528657
2.28441,0.380526,0.0332015,264.954,0.540045
2.28339,0.320222,0.0434669,357.209,0.409052
2.28237,0.430303,0.0231534,187.209,0.568579
2.28136,0.399783,0.035113,282.111,0.526388
2.28034,0.365901,0.0437977,327.423,0.488207
2.27932,0.359438,0.051881,435.99,0.469309
2.27831,0.294002,0.0244208,195.874,0.463505
2.27729,0.492624,0.0304968,265.606,0.602483
2.27627,0.397365,0.0371817,274.621,0.515035
2.27525,0.528295,0.0150318,115.804,0.625972
2.27424,0.407391,0.0389037,330.669,0.512271
2.27322,0.435764,0.0367938,300.009,0.555411
2.2722,0.432873,0.0329935,260.909,0.544062
2.27119,0.451327,0.0464225,386.972,0.554835
2.27017,0.538861,0.0255097,197.668,0.612306
2.26915,0.565781,0.0152019,116.574,0.632293
2.26814,0.597627,0.0120821,88.3964,0.643313
2.26712,0.613388,0.00599272,47.4078,0.653059
2.2661,0.601287,0.00877821,62.6001,0.648408
2.26508,0.571828,0.0248413,201.919,0.628748
2.26407,0.615095,0.00826235,64.3372,0.649383
2.26305,0.569535,0.0389062,283.3,0.616013
2.26203,0.619857,0.00723856,58.7084,0.651345
2.26102,0.616205,0.00703126,52.8432,0.651497
2.26,0.645838,0.0045427,33.89,0.657681
