Paso, Clase 1, Clase 2, Clase 3, Clase 4, Clase 5, Clase 6, Clase 7, Clase 8, Clase 9, Clase 10
0, 336, 1304, 1859, 1228, 303, 348, 1248, 1755, 1272, 347
1, 516, 1737, 2053, 721, 3, 122, 755, 1823, 1619, 651
2, 619, 1862, 1908, 640, 1, 112, 719, 1685, 1627, 827
3, 726, 1912, 1808, 582, 2, 107, 635, 1686, 1577, 965
4, 784, 1924, 1747, 570, 5, 91, 630, 1613, 1668, 968
5, 810, 1915, 1704, 593, 8, 93, 676, 1564, 1606, 1031
6, 859, 1888, 1736, 546, 1, 97, 639, 1539, 1619, 1076
7, 902, 1898, 1682, 546, 2, 102, 617, 1547, 1555, 1149
8, 957, 1912, 1642, 518, 1, 98, 590, 1531, 1530, 1221
9, 1019, 1859, 1619, 531, 2, 92, 618, 1459, 1558, 1243
10, 1020, 1927, 1585, 497, 1, 95, 599, 1439, 1537, 1300
11, 1102, 1808, 1602, 516, 2, 94, 619, 1425, 1485, 1347
12, 1127, 1835, 1546, 521, 1, 108, 564, 1438, 1494, 1366
13, 1113, 1918, 1508, 488, 3, 100, 565, 1410, 1495, 1400
14, 1104, 1873, 1518, 531, 4, 91, 573, 1461, 1513, 1332
15, 1177, 1878, 1477, 496, 2, 103, 560, 1377, 1482, 1448
16, 1174, 1879, 1490, 485, 2, 98, 559, 1372, 1509, 1432
17, 1201, 1893, 1441, 493, 2, 91, 539, 1390, 1501, 1449
18, 1196, 1877, 1465, 489, 3, 88, 557, 1397, 1469, 1459
19, 1188, 1895, 1477, 469, 1, 99, 540, 1362, 1520, 1449
20, 1211, 1903, 1417, 495, 4, 102, 538, 1338, 1540, 1452
21, 1242, 1889, 1398, 499, 2, 97, 557, 1322, 1487, 1507
22, 1267, 1868, 1416, 478, 1, 103, 548, 1289, 1504, 1526
23, 1289, 1881, 1409, 449, 2, 104, 528, 1262, 1530, 1546
24, 1344, 1848, 1362, 472, 4, 107, 511, 1279, 1485, 1588
25, 1370, 1802, 1379, 478, 1, 106, 519, 1295, 1427, 1623
26, 1437, 1767, 1369, 457, 0, 103, 510, 1260, 1414, 1683
27, 1439, 1781, 1356, 453, 1, 105, 505, 1233, 1455, 1672
28, 1445, 1792, 1339, 454, 0, 106, 504, 1207, 1482, 1671
29, 1444, 1741, 1402, 439, 4, 106, 495, 1282, 1405, 1682
30, 1448, 1707, 1393, 481, 1, 93, 527, 1246, 1495, 1609
31, 1494, 1771, 1315, 449, 1, 89, 462, 1277, 1456, 1686
32, 1495, 1752, 1306, 474, 3, 96, 489, 1238, 1471, 1676
33, 1505, 1737, 1321, 465, 2, 88, 464, 1273, 1492, 1653
34, 1523, 1723, 1376, 407, 1, 94, 466, 1265, 1396, 1749
35, 1493, 1716, 1346, 472, 3, 95, 533, 1211, 1435, 1696
36, 1529, 1727, 1320, 453, 1, 102, 490, 1195, 1462, 1721
37, 1536, 1746, 1298, 448, 2, 93, 489, 1218, 1419, 1751
38, 1553, 1742, 1270, 462, 3, 95, 528, 1143, 1430, 1774
39, 1592, 1702, 1293, 442, 1, 101, 482, 1198, 1372, 1817
40, 1571, 1718, 1332, 408, 1, 108, 476, 1174, 1402, 1810
41, 1600, 1722, 1286, 420, 2, 102, 450, 1191, 1422, 1805
42, 1639, 1701, 1249, 439, 2, 116, 462, 1146, 1382, 1864
43, 1637, 1732, 1248, 412, 1, 105, 460, 1119, 1430, 1856
44, 1657, 1680, 1256, 436, 1, 114, 468, 1128, 1388, 1872
45, 1694, 1637, 1264, 433, 2, 108, 464, 1129, 1390, 1879
46, 1687, 1643, 1250, 449, 1, 103, 490, 1132, 1348, 1897
47, 1702, 1647, 1245, 435, 1, 106, 485, 1110, 1347, 1922
48, 1674, 1680, 1239, 434, 3, 90, 493, 1114, 1405, 1868
49, 1680, 1719, 1192, 435, 4, 87, 466, 1147, 1384, 1886
50, 1711, 1645, 1250, 423, 1, 85, 446, 1185, 1370, 1884
51, 1692, 1672, 1209, 454, 3, 93, 440, 1219, 1334, 1884
52, 1709, 1644, 1249, 428, 0, 86, 454, 1169, 1382, 1879
53, 1725, 1661, 1215, 427, 2, 85, 450, 1141, 1408, 1886
54, 1735, 1651, 1234, 409, 1, 87, 447, 1131, 1399, 1906
55, 1753, 1675, 1156, 443, 3, 92, 451, 1122, 1363, 1942
56, 1766, 1670, 1155, 438, 1, 84, 443, 1120, 1393, 1930
57, 1786, 1618, 1165, 460, 1, 87, 452, 1122, 1384, 1925
58, 1820, 1668, 1131, 410, 1, 90, 434, 1063, 1376, 2007
59, 1815, 1656, 1125, 434, 0, 86, 455, 1048, 1403, 1978
60, 1810, 1599, 1184, 435, 2, 79, 481, 1058, 1405, 1947
61, 1861, 1652, 1114, 400, 3, 82, 421, 1063, 1375, 2029
62, 1822, 1600, 1183, 424, 1, 97, 455, 1060, 1369, 1989
63, 1837, 1631, 1160, 399, 3, 82, 434, 1082, 1366, 2006
64, 1854, 1631, 1143, 399, 3, 74, 464, 1052, 1334, 2046
65, 1878, 1618, 1130, 402, 2, 79, 450, 1061, 1304, 2076
66, 1919, 1585, 1134, 391, 1, 83, 439, 1046, 1289, 2113
67, 1920, 1594, 1089, 426, 1, 91, 436, 1041, 1300, 2102
68, 1929, 1546, 1178, 376, 1, 92, 426, 1031, 1326, 2095
69, 1921, 1599, 1123, 387, 0, 84, 428, 1031, 1324, 2103
70, 1938, 1582, 1124, 384, 2, 82, 435, 1011, 1335, 2107
71, 1915, 1595, 1139, 379, 2, 78, 436, 1035, 1328, 2093
72, 1955, 1574, 1111, 388, 2, 80, 425, 1076, 1221, 2168
73, 1927, 1572, 1135, 394, 2, 76, 455, 1065, 1233, 2141
74, 1923, 1546, 1176, 382, 3, 76, 424, 1097, 1286, 2087
75, 1958, 1567, 1114, 389, 2, 61, 427, 1094, 1257, 2131
76, 1979, 1550, 1119, 378, 4, 74, 438, 994, 1340, 2124
77, 1990, 1566, 1083, 388, 3, 83, 419, 1015, 1289, 2164
78, 2014, 1528, 1077, 408, 3, 87, 408, 1012, 1322, 2141
79, 2016, 1557, 1095, 359, 3, 78, 396, 1040, 1256, 2200
80, 1994, 1540, 1112, 380, 4, 84, 415, 1033, 1273, 2165
81, 1998, 1558, 1062, 410, 2, 84, 400, 1074, 1236, 2176
82, 1945, 1560, 1107, 414, 4, 94, 419, 1049, 1301, 2107
83, 1986, 1543, 1096, 405, 0, 86, 409, 1034, 1311, 2130
84, 2018, 1546, 1069, 396, 1, 83, 376, 1060, 1296, 2155
85, 2025, 1502, 1116, 386, 1, 84, 394, 1049, 1280, 2163
86, 2026, 1521, 1079, 401, 3, 85, 400, 1017, 1320, 2148
87, 2031, 1508, 1075, 414, 2, 79, 438, 979, 1320, 2154
88, 2019, 1521, 1090, 399, 1, 71, 393, 1057, 1325, 2124
89, 2038, 1505, 1099, 387, 1, 82, 426, 982, 1298, 2182
90, 2044, 1539, 1050, 395, 2, 78, 388, 1021, 1314, 2169
91, 2019, 1488, 1103, 418, 2, 90, 414, 1008, 1338, 2120
92, 2041, 1486, 1102, 398, 3, 98, 411, 989, 1293, 2179
93, 2082, 1476, 1073, 398, 1, 90, 398, 990, 1286, 2206
94, 2075, 1543, 1004, 403, 5, 84, 376, 1009, 1298, 2203
95, 2108, 1483, 1054, 383, 2, 84, 374, 971, 1348, 2193
96, 2075, 1486, 1075, 392, 2, 83, 401, 999, 1287, 2200
97, 2066, 1525, 1053, 385, 1, 83, 367, 1016, 1325, 2179
98, 2090, 1476, 1055, 408, 1, 89, 398, 978, 1308, 2197
99, 2083, 1466, 1104, 374, 3, 86, 385, 993, 1323, 2183
100, 2077, 1464, 1102, 386, 1, 83, 386, 1015, 1310, 2176
101, 2108, 1479, 1051, 389, 3, 82, 381, 977, 1335, 2195
102, 2078, 1509, 1035, 407, 1, 76, 392, 993, 1338, 2171
103, 2104, 1529, 1030, 365, 2, 78, 372, 956, 1352, 2212
104, 2111, 1519, 1010, 389, 1, 72, 381, 984, 1311, 2222
105, 2089, 1497, 1067, 373, 4, 86, 388, 953, 1352, 2191
106, 2070, 1508, 1045, 406, 1, 89, 407, 952, 1339, 2183
107, 2062, 1495, 1080, 391, 2, 89, 404, 970, 1328, 2179
108, 2028, 1520, 1062, 418, 2, 80, 426, 993, 1322, 2149
109, 2051, 1488, 1075, 412, 4, 86, 374, 1060, 1304, 2146
110, 2084, 1513, 1057, 371, 5, 80, 373, 1004, 1313, 2200
111, 2086, 1495, 1037, 411, 1, 84, 400, 987, 1296, 2203
112, 2103, 1464, 1070, 390, 3, 78, 395, 992, 1305, 2200
113, 2100, 1476, 1066, 386, 2, 83, 374, 1013, 1294, 2206
114, 2063, 1502, 1071, 392, 2, 84, 398, 1008, 1282, 2198
115, 2073, 1465, 1102, 389, 1, 77, 411, 1018, 1263, 2201
116, 2077, 1405, 1148, 399, 1, 78, 428, 1026, 1254, 2184
117, 2070, 1470, 1081, 406, 3, 87, 416, 981, 1304, 2182
118, 2080, 1472, 1107, 370, 1, 90, 381, 983, 1331, 2185
119, 2097, 1480, 1049, 402, 2, 83, 399, 1000, 1263, 2225
120, 2109, 1450, 1100, 368, 3, 93, 390, 972, 1280, 2235
121, 2114, 1436, 1060, 420, 0, 94, 387, 1007, 1265, 2217
122, 2117, 1482, 1055, 374, 2, 74, 376, 997, 1304, 2219
123, 2137, 1482, 1019, 390, 2, 79, 371, 985, 1299, 2236
124, 2152, 1463, 1037, 377, 1, 84, 383, 962, 1263, 2278
125, 2137, 1502, 1017, 370, 4, 91, 376, 979, 1212, 2312
126, 2178, 1441, 1061, 349, 1, 89, 358, 961, 1262, 2300
127, 2177, 1453, 1055, 343, 2, 74, 367, 992, 1219, 2318
128, 2186, 1434, 1026, 382, 2, 88, 403, 928, 1223, 2328
129, 2195, 1467, 994, 371, 3, 89, 382, 909, 1260, 2330
130, 2189, 1436, 1025, 378, 2, 82, 370, 940, 1310, 2268
131, 2173, 1466, 1027, 358, 6, 72, 397, 946, 1247, 2308
132, 2194, 1440, 1024, 370, 2, 69, 389, 960, 1243, 2309
133, 2198, 1455, 999, 377, 1, 71, 373, 967, 1251, 2308
134, 2193, 1447, 1004, 383, 3, 80, 359, 986, 1247, 2298
135, 2182, 1461, 1023, 357, 7, 78, 376, 941, 1284, 2291
136, 2199, 1458, 1012, 358, 3, 83, 340, 981, 1254, 2312
137, 2185, 1437, 1018, 387, 3, 83, 374, 964, 1264, 2285
138, 2204, 1434, 1028, 362, 2, 78, 372, 974, 1208, 2338
139, 2208, 1438, 1008, 374, 2, 84, 355, 967, 1249, 2315
140, 2183, 1455, 992, 397, 3, 84, 360, 982, 1262, 2282
141, 2185, 1443, 1038, 363, 1, 91, 347, 982, 1243, 2307
142, 2214, 1410, 1029, 374, 3, 91, 362, 985, 1182, 2350
143, 2257, 1422, 998, 350, 3, 85, 375, 905, 1205, 2400
144, 2291, 1414, 980, 344, 1, 86, 365, 887, 1197, 2435
145, 2291, 1416, 973, 346, 4, 80, 349, 932, 1185, 2424
146, 2265, 1407, 1007, 349, 2, 79, 357, 942, 1205, 2387
147, 2230, 1449, 990, 359, 2, 79, 381, 911, 1233, 2366
148, 2233, 1419, 1038, 339, 1, 87, 359, 937, 1217, 2370
149, 2218, 1416, 1046, 348, 2, 83, 341, 991, 1223, 2332
150, 2225, 1413, 1029, 363, 0, 75, 399, 919, 1225, 2352
151, 2260, 1425, 989, 355, 1, 79, 336, 969, 1210, 2376
152, 2262, 1437, 977, 353, 1, 78, 348, 941, 1216, 2387
153, 2261, 1405, 1004, 359, 1, 86, 378, 901, 1214, 2391
154, 2258, 1422, 983, 366, 1, 76, 366, 916, 1256, 2356
155, 2255, 1441, 954, 379, 1, 69, 376, 930, 1226, 2369
156, 2250, 1392, 1009, 374, 5, 75, 392, 920, 1236, 2347
157, 2266, 1396, 996, 366, 6, 69, 377, 934, 1235, 2355
158, 2292, 1365, 1027, 343, 3, 68, 368, 928, 1228, 2378
159, 2282, 1360, 1027, 358, 3, 63, 390, 920, 1238, 2359
160, 2312, 1375, 990, 351, 2, 68, 367, 925, 1193, 2417
161, 2280, 1412, 970, 364, 4, 72, 356, 939, 1226, 2377
162, 2311, 1407, 931, 379, 2, 75, 339, 937, 1223, 2396
163, 2302, 1394, 973, 358, 3, 71, 358, 918, 1232, 2391
164, 2300, 1421, 946, 361, 2, 64, 365, 921, 1211, 2409
165, 2298, 1393, 988, 349, 2, 66, 353, 922, 1257, 2372
166, 2324, 1391, 936, 377, 2, 72, 335, 937, 1235, 2391
167, 2357, 1374, 955, 342, 2, 60, 361, 917, 1161, 2471
168, 2364, 1358, 958, 348, 2, 67, 362, 895, 1182, 2464
169, 2358, 1378, 952, 340, 2, 68, 351, 911, 1163, 2477
170, 2335, 1389, 962, 341, 3, 66, 357, 895, 1223, 2429
171, 2333, 1372, 968, 354, 3, 60, 351, 950, 1189, 2420
172, 2321, 1353, 1000, 355, 1, 68, 348, 920, 1266, 2368
173, 2333, 1349, 979, 365, 4, 68, 368, 916, 1210, 2408
174, 2345, 1366, 951, 366, 2, 69, 355, 906, 1221, 2419
175, 2357, 1350, 961, 360, 2, 69, 353, 918, 1189, 2441
176, 2335, 1371, 955, 367, 2, 69, 372, 884, 1230, 2415
177, 2374, 1320, 970, 366, 0, 69, 356, 907, 1200, 2438
178, 2383, 1380, 917, 348, 2, 67, 360, 870, 1178, 2495
179, 2405, 1325, 965, 333, 2, 66, 337, 921, 1145, 2501
180, 2410, 1325, 947, 343, 5, 65, 344, 900, 1176, 2485
181, 2405, 1339, 944, 337, 5, 68, 357, 863, 1189, 2493
182, 2401, 1330, 946, 352, 1, 74, 349, 894, 1151, 2502
183, 2402, 1353, 938, 333, 4, 78, 322, 883, 1200, 2487
184, 2424, 1344, 890, 372, 0, 63, 342, 896, 1170, 2499
185, 2435, 1337, 911, 343, 4, 73, 335, 882, 1143, 2537
186, 2416, 1312, 947, 354, 1, 68, 363, 853, 1205, 2481
187, 2454, 1328, 930, 316, 2, 67, 344, 867, 1110, 2582
188, 2454, 1324, 933, 318, 1, 73, 334, 861, 1132, 2570
189, 2451, 1318, 949, 308, 4, 76, 323, 878, 1127, 2566
190, 2427, 1325, 946, 331, 1, 68, 351, 872, 1145, 2534
191, 2439, 1311, 945, 333, 2, 68, 347, 891, 1113, 2551
192, 2430, 1310, 968, 320, 2, 63, 352, 870, 1166, 2519
193, 2457, 1322, 926, 324, 1, 64, 336, 853, 1180, 2537
194, 2441, 1306, 969, 314, 0, 73, 331, 852, 1197, 2517
195, 2437, 1316, 925, 350, 2, 78, 336, 866, 1172, 2518
196, 2443, 1261, 976, 347, 3, 71, 351, 873, 1183, 2492
197, 2443, 1333, 912, 341, 1, 73, 350, 812, 1218, 2517
198, 2442, 1309, 906, 371, 2, 70, 345, 883, 1161, 2511
199, 2446, 1279, 945, 355, 5, 57, 355, 895, 1171, 2492
200, 2439, 1296, 957, 336, 2, 63, 345, 883, 1173, 2506
201, 2439, 1287, 954, 347, 3, 65, 332, 921, 1150, 2502
202, 2451, 1292, 922, 360, 5, 69, 342, 894, 1146, 2519
203, 2462, 1295, 939, 333, 1, 70, 339, 863, 1153, 2545
204, 2459, 1302, 936, 328, 5, 76, 322, 857, 1194, 2521
205, 2444, 1320, 938, 326, 2, 66, 332, 883, 1156, 2533
206, 2435, 1290, 942, 360, 3, 75, 352, 865, 1180, 2498
207, 2437, 1281, 955, 353, 4, 73, 369, 848, 1171, 2509
208, 2443, 1272, 961, 348, 6, 63, 334, 900, 1208, 2465
209, 2423, 1307, 962, 337, 1, 74, 325, 906, 1163, 2502
210, 2438, 1279, 944, 365, 4, 78, 344, 878, 1178, 2492
211, 2454, 1288, 931, 354, 3, 74, 348, 861, 1162, 2525
212, 2454, 1294, 929, 350, 3, 74, 357, 829, 1189, 2521
213, 2480, 1299, 901, 347, 3, 84, 324, 858, 1130, 2574
214, 2466, 1296, 936, 330, 2, 76, 344, 841, 1148, 2561
215, 2477, 1284, 917, 348, 4, 79, 341, 855, 1129, 2566
216, 2486, 1259, 956, 327, 2, 76, 346, 859, 1100, 2589
217, 2455, 1269, 944, 359, 3, 84, 333, 870, 1171, 2512
218, 2484, 1258, 940, 346, 2, 78, 309, 903, 1139, 2541
219, 2472, 1283, 930, 343, 2, 82, 319, 877, 1141, 2551
220, 2470, 1254, 962, 342, 2, 79, 326, 886, 1146, 2533
221, 2487, 1240, 954, 346, 3, 81, 333, 851, 1173, 2532
222, 2488, 1258, 953, 328, 3, 89, 316, 866, 1124, 2575
223, 2526, 1243, 928, 329, 4, 74, 321, 860, 1123, 2592
224, 2528, 1251, 921, 325, 5, 75, 336, 831, 1118, 2610
225, 2520, 1269, 931, 307, 3, 71, 309, 857, 1139, 2594
226, 2526, 1268, 910, 324, 2, 69, 322, 841, 1144, 2594
227, 2549, 1274, 909, 298, 0, 70, 308, 843, 1096, 2653
228, 2553, 1249, 902, 323, 3, 72, 306, 866, 1096, 2630
229, 2549, 1215, 932, 333, 1, 76, 333, 849, 1081, 2631
